time(s);battery;obc;eps;communication;sdatf;slp;smdh
331;2,2565567;On;On;Receiver;Off;Off;Off
332;2,2560534;On;On;Receiver;Off;Off;Off
333;2,25555;On;On;Receiver;Off;Off;Off
334;2,2550466;On;On;Receiver;Off;Off;Off
335;2,2545433;On;On;Receiver;Off;Off;Off
336;2,25404;On;On;Receiver;Off;Off;Off
337;2,2535367;On;On;Receiver;Off;Off;Off
338;2,2530334;On;On;Receiver;Off;Off;Off
339;2,25253;On;On;Receiver;Off;Off;Off
340;2,2520266;On;On;Receiver;Off;Off;Off
341;2,2515233;On;On;Receiver;Off;Off;Off
342;2,25102;On;On;Receiver;Off;Off;Off
343;2,2505167;On;On;Receiver;Off;Off;Off
344;2,2500134;On;On;Receiver;Off;Off;Off
345;2,24951;On;On;Receiver;Off;Off;Off
346;2,2490067;On;On;Receiver;Off;Off;Off
347;2,2485034;On;On;Receiver;Off;Off;Off
348;2,248;On;On;Receiver;Off;Off;Off
349;2,2474966;On;On;Receiver;Off;Off;Off
350;2,2469933;On;On;Receiver;Off;Off;Off
351;2,24649;On;On;Receiver;Off;Off;Off
352;2,2459867;On;On;Receiver;Off;Off;Off
353;2,2454834;On;On;Receiver;Off;Off;Off
354;2,24498;On;On;Receiver;Off;Off;Off
355;2,2444766;On;On;Receiver;Off;Off;Off
356;2,2439733;On;On;Receiver;Off;Off;Off
357;2,24347;On;On;Receiver;Off;Off;Off
358;2,2429667;On;On;Receiver;Off;Off;Off
359;2,2424634;On;On;Receiver;Off;Off;Off
360;2,24196;On;On;Receiver;Off;Off;Off
361;2,2414567;On;On;Receiver;Off;Off;Off
362;2,2409534;On;On;Receiver;Off;Off;Off
363;2,24045;On;On;Receiver;Off;Off;Off
364;2,2399466;On;On;Receiver;Off;Off;Off
365;2,2394433;On;On;Receiver;Off;Off;Off
366;2,23894;On;On;Receiver;Off;Off;Off
367;2,2384367;On;On;Receiver;Off;Off;Off
368;2,2379334;On;On;Receiver;Off;Off;Off
369;2,23743;On;On;Receiver;Off;Off;Off
370;2,2369266;On;On;Receiver;Off;Off;Off
371;2,2364233;On;On;Receiver;Off;Off;Off
372;2,23592;On;On;Receiver;Off;Off;Off
373;2,2354167;On;On;Receiver;Off;Off;Off
374;2,2349133;On;On;Receiver;Off;Off;Off
375;2,23441;On;On;Receiver;Off;Off;Off
376;2,2339067;On;On;Receiver;Off;Off;Off
377;2,2334034;On;On;Receiver;Off;Off;Off
378;2,2329;On;On;Receiver;Off;Off;Off
379;2,2323966;On;On;Receiver;Off;Off;Off
380;2,2318933;On;On;Receiver;Off;Off;Off
381;2,23139;On;On;Receiver;Off;Off;Off
382;2,2308867;On;On;Receiver;Off;Off;Off
383;2,2303834;On;On;Receiver;Off;Off;Off
384;2,22988;On;On;Receiver;Off;Off;Off
385;2,2293766;On;On;Receiver;Off;Off;Off
386;2,2288733;On;On;Receiver;Off;Off;Off
387;2,22837;On;On;Receiver;Off;Off;Off
388;2,2278666;On;On;Receiver;Off;Off;Off
389;2,2273633;On;On;Receiver;Off;Off;Off
390;2,22686;On;On;Receiver;Off;Off;Off
391;2,2263567;On;On;Receiver;Off;Off;Off
392;2,2258534;On;On;Receiver;Off;Off;Off
393;2,22535;On;On;Receiver;Off;Off;Off
394;2,2248466;On;On;Receiver;Off;Off;Off
395;2,2243433;On;On;Receiver;Off;Off;Off
396;2,22384;On;On;Receiver;Off;Off;Off
397;2,2233367;On;On;Receiver;Off;Off;Off
398;2,2228334;On;On;Receiver;Off;Off;Off
399;2,22233;On;On;Receiver;Off;Off;Off
400;2,2218266;On;On;Receiver;Off;Off;Off
401;2,2213233;On;On;Receiver;Off;Off;Off
402;2,22082;On;On;Receiver;Off;Off;Off
403;2,2203166;On;On;Receiver;Off;Off;Off
404;2,2198133;On;On;Receiver;Off;Off;Off
405;2,21931;On;On;Receiver;Off;Off;Off
406;2,2188067;On;On;Receiver;Off;Off;Off
407;2,2183034;On;On;Receiver;Off;Off;Off
408;2,2178;On;On;Receiver;Off;Off;Off
409;2,2172966;On;On;Receiver;Off;Off;Off
